device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 6000, 800, 143949824, 1.7079524993896484, 51.78292247425252
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 6000, 1000, 144359424, 1.3819565773010254, 64.18033067205417
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 8000, 200, 146817024, 1.3815414905548096, 65.2925591900791
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 8000, 400, 147226624, 1.527482509613037, 59.21903342023574
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 8000, 600, 147636224, 1.1009330749511719, 82.39165312534827
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 8000, 800, 148045824, 1.400299310684204, 64.95707994111352
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 8000, 1000, 148455424, 1.374422550201416, 66.36315192313558
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 2000, 200, 134529024, 1.408017635345459, 117.40567769993957
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 2000, 400, 134938624, 1.393012285232544, 119.03167181581598
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 2000, 600, 135348224, 1.3949205875396729, 119.22965302601487
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 2000, 800, 135757824, 1.9780805110931396, 84.33388489278997
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 2000, 1000, 136167424, 1.4814951419830322, 112.94166674568574
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 4000, 200, 138625024, 1.8551392555236816, 91.8219098560957
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 4000, 400, 139034624, 1.5045020580291748, 113.55633916180858
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 4000, 600, 139444224, 1.4088637828826904, 121.62216428092215
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 4000, 800, 139853824, 1.4160172939300537, 121.36319215017222
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 4000, 1000, 140263424, 1.6767897605895996, 102.78909107281022
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 6000, 200, 142721024, 1.4355649948120117, 122.16485838327756
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 6000, 400, 143130624, 1.570011854171753, 112.0239381020365
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 6000, 600, 143540224, 1.5588088035583496, 113.15193168563448
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 6000, 800, 143949824, 1.7124686241149902, 103.29272095283793
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 6000, 1000, 144359424, 1.451930046081543, 122.17452258801009
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 8000, 200, 146817024, 1.4621591567993164, 123.38517202608566
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 8000, 400, 147226624, 1.468745231628418, 123.17457900484233
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 8000, 600, 147636224, 1.4748671054840088, 123.00456859919234
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 8000, 800, 148045824, 1.4785411357879639, 123.0393285163821
NVIDIA A100 80GB PCIe, f16, 32, 2048, 2048, 8000, 1000, 148455424, 1.6667039394378662, 109.45076728667598
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 2000, 200, 134529024, 2.157606363296509, 153.23394248673932
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 2000, 400, 134938624, 2.167935848236084, 152.96816214014035
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 2000, 600, 135348224, 2.1643242835998535, 153.6885197023913
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 2000, 800, 135757824, 2.174670457839966, 153.42022376750955
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 2000, 1000, 136167424, 2.1861279010772705, 153.07661599190746
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 4000, 200, 138625024, 2.1863203048706055, 155.825684929804
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 4000, 400, 139034624, 2.1950013637542725, 155.6680089519306
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 4000, 600, 139444224, 2.1992223262786865, 155.82695792393167
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 4000, 800, 139853824, 2.2024178504943848, 156.05792415151708
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 4000, 1000, 140263424, 2.2103235721588135, 155.95517107285875
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 6000, 200, 142721024, 2.2452831268310547, 156.21690841165446
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 6000, 400, 143130624, 2.252835273742676, 156.14005410969014
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 6000, 600, 143540224, 2.259444236755371, 156.12886070115198
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 6000, 800, 143949824, 2.2639107704162598, 156.26547304130406
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 6000, 1000, 144359424, 2.269505023956299, 156.32383126605123
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 8000, 200, 146817024, 2.2773537635803223, 158.43718439911763
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 8000, 400, 147226624, 2.2794485092163086, 158.733197823713
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 8000, 600, 147636224, 2.282738447189331, 158.9454037317078
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 8000, 800, 148045824, 2.2947535514831543, 158.55184833562765
NVIDIA A100 80GB PCIe, f16, 32, 2048, 4096, 8000, 1000, 148455424, 2.2949423789978027, 158.97743375226995
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 2000, 200, 134529024, 3.8007872104644775, 173.97371179955985
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 2000, 400, 134938624, 3.8020381927490234, 174.44599213908577
NVIDIA A100 80GB PCIe, f16, 32, 2048, 8192, 2000, 600, 135348224, 3.814727306365967, 174.39348534680758
