device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
Tesla T4, f16, 128, 1024, 2048, 2000, 600, 135831552, 8.31709361076355, 20.068285738854016
Tesla T4, f16, 128, 1024, 2048, 2000, 800, 136036352, 8.335587501525879, 20.05395172289897
Tesla T4, f16, 128, 1024, 2048, 2000, 1000, 136241152, 8.34967589378357, 20.05025460955209
Tesla T4, f16, 128, 1024, 2048, 4000, 200, 137469952, 8.39335012435913, 20.125822766210177
Tesla T4, f16, 128, 1024, 2048, 4000, 400, 137674752, 8.412957668304443, 20.10882996534745
Tesla T4, f16, 128, 1024, 2048, 4000, 600, 137879552, 8.439206600189209, 20.07610448757131
Tesla T4, f16, 128, 1024, 2048, 4000, 800, 138084352, 8.436399698257446, 20.11261412527044
Tesla T4, f16, 128, 1024, 2048, 4000, 1000, 138289152, 8.4493727684021, 20.11151769905119
Tesla T4, f16, 128, 1024, 2048, 6000, 200, 139517952, 8.47544240951538, 20.2278124414042
Tesla T4, f16, 128, 1024, 2048, 6000, 400, 139722752, 8.490256309509277, 20.222159543676188
Tesla T4, f16, 128, 1024, 2048, 6000, 600, 139927552, 8.503421068191528, 20.220447102258824
Tesla T4, f16, 128, 1024, 2048, 6000, 800, 140132352, 8.511481523513794, 20.230865057028627
Tesla T4, f16, 128, 1024, 2048, 6000, 1000, 140337152, 8.527128458023071, 20.223254900698414
Tesla T4, f16, 128, 1024, 2048, 8000, 200, 141565952, 8.554365158081055, 20.335377155751726
Tesla T4, f16, 128, 1024, 2048, 8000, 400, 141770752, 8.564838647842407, 20.339892812981972
Tesla T4, f16, 128, 1024, 2048, 8000, 600, 141975552, 8.586556673049927, 20.317755410054534
Tesla T4, f16, 128, 1024, 2048, 8000, 800, 142180352, 8.592145204544067, 20.333829605812724
Tesla T4, f16, 128, 1024, 2048, 8000, 1000, 142385152, 8.606451034545898, 20.329270924252874
Tesla T4, f16, 128, 1024, 4096, 2000, 200, 135421952, 13.934960842132568, 23.883309971631554
Tesla T4, f16, 128, 1024, 4096, 2000, 400, 135626752, 13.968334436416626, 23.86227987541709
Tesla T4, f16, 128, 1024, 4096, 2000, 600, 135831552, 13.991915702819824, 23.858035546049248
Tesla T4, f16, 128, 1024, 4096, 2000, 800, 136036352, 13.998666524887085, 23.882484669581533
Tesla T4, f16, 128, 1024, 4096, 2000, 1000, 136241152, 14.027889251708984, 23.868612672031816
Tesla T4, f16, 128, 1024, 4096, 4000, 200, 137469952, 14.090622425079346, 23.976666455406605
Tesla T4, f16, 128, 1024, 4096, 4000, 400, 137674752, 14.112434387207031, 23.975273240024052
Tesla T4, f16, 128, 1024, 4096, 4000, 600, 137879552, 14.143043518066406, 23.9589722369409
Tesla T4, f16, 128, 1024, 4096, 4000, 800, 138084352, 14.143676996231079, 23.993485114629635
Tesla T4, f16, 128, 1024, 4096, 4000, 1000, 138289152, 14.155362606048584, 24.009234479799066
Tesla T4, f16, 128, 1024, 4096, 6000, 200, 139517952, 14.204500436782837, 24.13878054784012
Tesla T4, f16, 128, 1024, 4096, 6000, 400, 139722752, 14.252831220626831, 24.092240341571816
Tesla T4, f16, 128, 1024, 4096, 6000, 600, 139927552, 14.275679588317871, 24.08893738947532
Tesla T4, f16, 128, 1024, 4096, 6000, 800, 140132352, 14.294257164001465, 24.09284122455184
Tesla T4, f16, 128, 1024, 4096, 6000, 1000, 140337152, 14.310935020446777, 24.09993367047185
Tesla T4, f16, 128, 1024, 4096, 8000, 200, 141565952, 14.33957028388977, 24.26240652595238
Tesla T4, f16, 128, 1024, 4096, 8000, 400, 141770752, 14.360312223434448, 24.26241119929299
Tesla T4, f16, 128, 1024, 4096, 8000, 600, 141975552, 14.396108388900757, 24.237044287900254
Tesla T4, f16, 128, 1024, 4096, 8000, 800, 142180352, 14.420374155044556, 24.23116275058401
Tesla T4, f16, 128, 1024, 4096, 8000, 1000, 142385152, 14.429341793060303, 24.250984873301324
Tesla T4, f16, 128, 1024, 8192, 2000, 200, 135421952, 24.66545057296753, 26.986167412644097
Tesla T4, f16, 128, 1024, 8192, 2000, 400, 135626752, 24.70612597465515, 26.982482486904942
Tesla T4, f16, 128, 1024, 8192, 2000, 600, 135831552, 24.761027336120605, 26.963309531849227
Tesla T4, f16, 128, 1024, 8192, 2000, 800, 136036352, 24.7926082611084, 26.969565699115638
Tesla T4, f16, 128, 1024, 8192, 2000, 1000, 136241152, 24.824596166610718, 26.975363700420957
Tesla T4, f16, 128, 1024, 8192, 4000, 200, 137469952, 24.938726663589478, 27.094098154454304
Tesla T4, f16, 128, 1024, 8192, 4000, 400, 137674752, 24.965855360031128, 27.10497722876963
